,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1467,CHEMBL94271,CC(C)[C@H](NC(=O)Cc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccccc1)NC(=O)[C@H](NC(=O)Cc1cccnc1)C(C)C,active,544.6920000000002,4.506800000000005,4.0,5.0,6.301029995663981
1468,CHEMBL324881,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccccc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccccc2)SC1(C)C,active,602.025,3.6835200000000015,4.0,5.0,9.259637310505756
1469,CHEMBL329047,CC(C)(C)NC(=O)c1ccccc1CCC(O)CN1CCCCC1C(=O)NC(C)(C)C,active,655.84,5.455900000000005,5.0,6.0,4.0
1470,CHEMBL69755,CCC(CC)NC(=O)C[C@@H](C(=O)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1)C(C)(C)C,active,599.753,6.477900000000007,2.0,7.0,8.42021640338319
1471,CHEMBL66399,CCC(CC)NC(=O)C[C@@H](C(=O)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)(C)C,active,669.8230000000003,3.4059000000000004,4.0,9.0,8.657577319177793
1472,CHEMBL415698,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccccc1)NC(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C,active,515.6950000000002,3.269100000000001,3.0,6.0,4.2839966563652006
1473,CHEMBL97146,CC(C)[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccccc1)NC(=O)[C@H](NC(=O)c1ccc2ccccc2n1)C(C)C,active,572.702,3.8873000000000033,4.0,6.0,7.187086643357144
1474,CHEMBL2021324,CCNC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1.O,active,503.6650000000003,5.448600000000005,2.0,7.0,5.886056647693163
1476,CHEMBL325356,CCNC(=O)[C@@H](NC(=O)c1c(-c2ccccc2)noc1C)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3c(-c4ccccc4)noc3C)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,695.8609999999999,3.796000000000002,4.0,9.0,8.267606240177031
1477,CHEMBL79236,CC(C)(c1cc2cnccc2o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,active,549.6930000000003,5.645200000000004,2.0,7.0,10.154901959985743
1478,CHEMBL325394,Cc1c(O)cc(F)cc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,active,697.8770000000003,4.184500000000003,4.0,9.0,8.769551078621726
1479,CHEMBL116723,Cc1ccc(O)c(C)c1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,active,566.0450000000001,3.1122400000000017,4.0,5.0,8.602059991327963
1480,CHEMBL117088,Cc1cc(O)c(C)c(C(=O)N[C@@H](Cc2cccc(C(F)(F)F)c2)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)c1,active,475.61100000000016,4.812500000000003,2.0,7.0,8.721246399047171
1482,CHEMBL119906,CCCC1(CCc2ccccc2)CC(=O)C(C(c2cccc(NS(=O)(=O)c3ccc([N+](=O)[O-])cn3)c2)C(C)(C)C)=C(O)O1,active,520.4570000000002,3.165,3.0,4.0,5.638272163982407
1483,CHEMBL117095,CC(C)(C)NC(=O)[C@@H]1C[C@H](Cl)CN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1O,active,564.9080000000001,3.2741000000000007,3.0,4.0,6.0
1484,CHEMBL2092977,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1,active,532.0370000000004,2.2258,4.0,6.0,6.958607314841775
1485,CHEMBL101560,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)OC1CCCC1,active,629.8420000000001,5.622100000000005,4.0,5.0,9.481486060122112
1486,CHEMBL47480,CC(C)C[C@H](NC(=O)[C@H](C/C=C/c1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,active,681.878,6.316700000000006,5.0,6.0,9.823908740944319
1488,CHEMBL81811,CC(C)(c1cc2cnccc2o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NC2CC2)C1,active,577.7470000000002,6.525000000000005,3.0,7.0,9.221848749616356
1489,CHEMBL98885,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)OC1CCOCC1,active,602.6750000000002,7.325500000000006,2.0,6.0,8.913640169325252
1491,CHEMBL113665,Cc1cc(O)c(C)c(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)c1,active,580.1250000000002,3.987240000000003,4.0,5.0,8.886056647693163
1492,CHEMBL3143353,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)CC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,active,580.9070000000002,2.9797000000000007,4.0,5.0,8.221848749616356
1493,CHEMBL117769,Cc1ccc(C(=O)N[C@@H](Cc2ccc(C(F)(F)F)cc2)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)c(C)c1O,active,630.729,7.961600000000006,2.0,6.0,8.200659450546418
1494,CHEMBL116552,Cc1ccc(O)c(C)c1C(=O)N[C@@H](Cc1ccc(C(F)(F)F)cc1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,active,602.6750000000002,7.325500000000006,2.0,6.0,8.4089353929735
1495,CHEMBL325199,Cc1ccc(C[C@H](NC(=O)c2c(C)ccc(O)c2C)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)cc1,active,602.7530000000003,3.6944000000000017,4.0,8.0,8.443697499232712
1496,CHEMBL324388,Cc1cccc(C)c1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,active,711.9040000000003,4.432100000000004,4.0,9.0,8.443697499232712
1497,CHEMBL3143349,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,active,586.7570000000002,3.4430000000000023,2.0,10.0,9.0
1498,CHEMBL2112566,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,active,544.0920000000002,3.1424600000000016,4.0,5.0,6.236572006437063
1499,CHEMBL319092,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)O[C@@H]1CCOC1,active,615.8150000000002,5.5796000000000054,4.0,5.0,10.522878745280337
1500,CHEMBL324524,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)c(C)c1O,active,773.8000000000002,4.583600000000003,4.0,9.0,8.086186147616283
1501,CHEMBL116439,Cc1ccc(C(=O)N[C@@H](Cc2cccc(C(F)(F)F)c2)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)c(C)c1O,active,598.062,3.8528400000000023,4.0,5.0,8.455931955649724
1502,CHEMBL324710,Cc1ccc(O)c(C)c1C(=O)N[C@@H](Cc1ccc2ccccc2c1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C,active,820.0439999999999,5.203500000000003,6.0,7.0,8.55284196865778
1503,CHEMBL21188,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,active,672.8670000000001,4.476000000000003,5.0,6.0,6.301029995663981
1504,CHEMBL2092978,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,active,737.82,4.338400000000003,4.0,9.0,6.0
1505,CHEMBL2111771,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,active,584.0880000000002,3.8179200000000018,4.0,5.0,6.0
1506,CHEMBL321571,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCCOC1,active,606.163,4.501040000000002,4.0,5.0,6.511449283499556
